family,laryngeal_echolocation,echolocation_mode,emission_route,duty_cycle_class,propagate_duty_cycle,call_structure,peak_freq_kHz_low,peak_freq_kHz_high,freq_range_confidence,doppler_shift_compensation,family_documentation_status,evidence_class,primary_references,reference_ids,verified_by,verified_date,notes,curation_note
Mormoopidae,yes,laryngeal,oral,mixed,no,mostly LDC FM/QCF; the Pteronotus parnellii complex is HDC CF-FM,45,95,approximate,in_P_parnellii_complex_only,most_genera_documented,family_consensus,Kossl et al. 1999; Schnitzler & Kalko 2001; Clare et al. 2013,kossl-1999;schnitzler-kalko-2001;clare-2013,,,The Pteronotus parnellii complex is the only oral-emitting high-duty-cycle lineage known; all other mormoopids are low duty cycle.,Do NOT propagate the family duty_cycle_class to species. Set duty_cycle at species level or leave unknown.
Phyllostomidae,yes,laryngeal,nasal,low,yes,short low-intensity broadband multiharmonic FM,40,110,approximate,no,most_genera_documented,family_consensus,Kalko 1995; Brinklov et al. 2009; Denzinger & Schnitzler 2013,kalko-1995;brinklov-2009;denzinger-schnitzler-2013,,,"Very low source levels; many species are effectively undetectable by standard passive monitoring, so published parameters come mostly from hand-released or flight-tent recordings. Frugivores and nectarivores are poorly represented.",
Furipteridae,yes,laryngeal,oral,low,yes,"broadband FM, high frequency",90,170,poorly_constrained,no,single_species_documented,family_consensus,scattered Neotropical call libraries; no family-level review,none,,,Essentially undescribed.,Treat any species-level value as provisional and flag prominently as a knowledge gap.
Thyropteridae,yes,laryngeal,oral,low,yes,short broadband FM,40,110,poorly_constrained,no,few_species_documented,family_consensus,scattered Neotropical call libraries; no family-level review,none,,,Very few published recordings.,
Myzopodidae,yes,laryngeal,oral,low,yes,FM; poorly characterised,30,100,poorly_constrained,no,single_species_documented,family_consensus,Ralisata et al. and scattered Malagasy surveys,ralisata,,,"Two species, both Madagascar-endemic; almost no published acoustic data. A clear gap to display.",
Mystacinidae,yes,laryngeal,oral,low,yes,low-frequency broadband FM/QCF with unusual harmonic structure,25,60,approximate,no,single_species_documented,family_consensus,Parsons 1997,parsons-1997,,,Ground-foraging; calls differ structurally from typical aerial hawkers.,
Molossidae,yes,laryngeal,oral,low,yes,"long narrowband QCF search calls, often alternating between frequency bands",10,45,approximate,no,most_genera_documented,family_consensus,Schnitzler & Kalko 2001; Jung et al. 2014,schnitzler-kalko-2001;jung-2014,,,Open-space aerial hawkers; long-range low-frequency calls. Alternating call types within a sequence make single peak-frequency values misleading.,Store as range where possible.
Miniopteridae,yes,laryngeal,oral,low,yes,FM-QCF,45,65,approximate,no,few_species_documented,family_consensus,Denzinger & Schnitzler 2013; regional African and Asian call libraries,denzinger-schnitzler-2013,,,Taxonomically split into many cryptic species whose calls overlap heavily; species-level assignment from acoustics alone is often not defensible.,
Cistugidae,yes,laryngeal,oral,low,yes,broadband FM,40,70,poorly_constrained,no,few_species_documented,family_consensus,Lack et al. 2010 (family delimitation); southern African call libraries,lack-2010,,,"Two species, southern Africa; minimal published acoustic data.",
Natalidae,yes,laryngeal,nasal,low,yes,"steep broadband FM, high frequency",70,165,poorly_constrained,no,few_species_documented,family_consensus,scattered Neotropical and Caribbean call libraries,none,,,,
Vespertilionidae,yes,laryngeal,oral,low,yes,highly variable: steep broadband FM (clutter foragers) through FM-QCF to narrowband QCF (open space),10,160,approximate,no,most_genera_documented,family_consensus,Schnitzler & Kalko 2001; Jones & Teeling 2006; Denzinger & Schnitzler 2013,schnitzler-kalko-2001;jones-teeling-2006;denzinger-schnitzler-2013,,,"The family-level range is so wide that it carries almost no information for an individual species. Low end: Euderma maculatum ~10 kHz. High end: Kerivoula spp., whose start frequencies exceed 200 kHz.","Prefer genus-level inference where you can justify it, and say plainly on the page that the family default is uninformative here."
